carID,brand,model,year,mileage,tax,mpg,engineSize,price,transmission,fuelType
16606,ford, Grand Tourneo Connect,2016,13608,30,64.2,1.5,13490,Manual,Diesel
13514,toyota, Verso,2017,19432,150,43.5,1.8,16781,Semi-Auto,Petrol
15644,merc, CLS Class,2018,8123,145,48.7,2.9,33990,Semi-Auto,Diesel
16918,vauxhall, Combo Life,2018,14066,145,53.3,1.5,13300,Manual,Diesel
18085,merc, G Class,2018,18234,150,21.4,4,135124,Semi-Auto,Petrol
13226,vw, Tiguan Allspace,2019,3500,145,38.7,2,33290,Semi-Auto,Diesel
16908,ford, Grand C-MAX,2011,90000,200,48.7,2,5995,Automatic,Diesel
14628,bmw, X6,2018,35706,145,47.1,3,33450,Automatic,Diesel
12058,ford, Edge,2018,9412,150,47.9,2,24000,Semi-Auto,Diesel
16049,merc, CLA Class,2016,30106,125,58.9,2.1,18500,Automatic,Diesel
14951,toyota, Verso,2017,6800,145,42.8,1.8,15495,Semi-Auto,Petrol
17375,bmw, M2,2020,1501,145,29.1,3,46000,Semi-Auto,Petrol
17153,merc, GL Class,2015,29520,125,55.4,2.1,17299,Automatic,Diesel
15618,merc, GL Class,2015,40659,125,56.5,2.1,16799,Automatic,Diesel
12237,merc, SLK,2014,34170,200,43.5,2,13650,Semi-Auto,Petrol
15590,bmw, X4,2017,22768,145,54.3,2,24500,Semi-Auto,Diesel
16631,merc, CLS Class,2016,33000,145,56.5,2.1,19200,Automatic,Diesel
13486,toyota, Prius,2017,3881,135,235,1.8,20795,Automatic,Hybrid
12712,vw, Scirocco,2015,22442,20,55.4,2,12998,Manual,Diesel
19392,merc, SLK,2016,39820,30,70.6,2.1,16299,Automatic,Diesel
16328,skoda, Scala,2020,55,145,49.6,1,17495,Manual,Petrol
12198,bmw, X7,2019,10,145,31.4,3,76970,Semi-Auto,Diesel
18013,vw, Arteon,2019,3248,145,52.3,2,24690,Manual,Diesel
